"FRIDAY, SEPTEMBER 19TH",,,,,,,
,,,,,,,
TIME,PREHISTORIC STAGE,WOMPY WOODS,THE CRATER,FOREST STAGE,SUBSIDIA STAGE,RAPTOR ALLEY,GROVE STAGE
1:00 PM,,,,,,,
1:15 PM,,,,,,,
1:30 PM,,,,,,,
1:45 PM,,,,,,,
2:00 PM,HAMRO,,,,,,
2:15 PM,,,"HYDRAULIX
(2:15 - 3:20 PM)",,,,
2:30 PM,,WONKYWILLA,,,,,
2:45 PM,,,,,,,
3:00 PM,BADKLAAT,,,,DREAM TAKERS,,
3:15 PM,,,"IVORY
(3:20 - 4:25 PM)",,,,
3:30 PM,,"NIKITA, THE WICKED",,,,,
3:45 PM,,,,,,,
4:00 PM,CYCLOPS,,,OKAYJAKE,THE ARCTURIANS,,
4:15 PM,,,,,,,
4:30 PM,,SIPPY,"HE$H
(4:25 - 5:30 PM)",,,,
4:45 PM,,,,,,,
5:00 PM,CALCIUM,,,JOSH TEED,NEOTEK,,
5:15 PM,,,,,,,
5:30 PM,,RAVENSCOON,"G-REX
(5:30 - 6:35 PM)",,,,
5:45 PM,,,,,,,
6:00 PM,KOMPANY,,,TISOKI,NXSTY,,
6:15 PM,,,,,,,
6:30 PM,,ZINGARA,"EMORFIK
(6:35 - 7:40 PM)",,,,
6:45 PM,,,,,,,
7:00 PM,LEVEL UP,,,EFFIN,M?STIC,,
7:15 PM,,,,,,,
7:30 PM,,"SLANDER
(SUNSET SET)",,,,,
7:45 PM,,,"DRINKURWATER
(7:40 - 8:45 PM)",,,,
8:00 PM,SPECIAL GUEST,,,SODOWN,VRG,,
8:15 PM,,,,,,,
8:30 PM,,RAY VOLPE,,,,,
8:45 PM,,,"BARELY ALIVE
(8:45 - 9:50 PM)",,,,
9:00 PM,TAPE B,,,WRECKNO,BOMMER,,
9:15 PM,,,,,,,
9:30 PM,,ARMNHMR,,,,,
9:45 PM,,,"CHMURA
(9:50 - 10:55 PM)",,,,
10:00 PM,"EXCISION
(2 HOUR SET)",,,LEOTRIX,MACHAKI,,
10:15 PM,,,,,,,
10:30 PM,,,,,,,
10:45 PM,,BOOGIE T,,,,,
11:00 PM,,,"DAGGZ
(10:55 PM - 12:00 AM)",SUPERAVE.,HEKLER,,
11:15 PM,,,,,,,
11:30 PM,,,,,,,
11:45 PM,,,,,,,
12:00 AM,,,SURPRISE TAKEOVERS,AHEE,LYNY,BELLA RENEE,SILENT DISCO
12:15 AM,,"SUBFILTRONIK
(12:15 - 1:10 AM)",,,,,
12:30 AM,,,,,,,
12:45 AM,,,,,,,
1:00 AM,,,,MOODY GOOD,"GOOD TIMES AHEAD
(TRAP SET)",SHOCKONE,
1:15 AM,,"VKTM
(1:10 - 2:05 AM)",,,,,
1:30 AM,,,,,,,
1:45 AM,,,,,,,
2:00 AM,,"DECIMATE
(2:05 - 3:00 AM)",,SMITH.,STÖÖKI SOUND,DIESELBOY,
2:15 AM,,,,,,,
2:30 AM,,,,,,,
2:45 AM,,,,,,,
3:00 AM,,PYKE,,SULLY,ALL THE REASON,BADVOID,
3:15 AM,,,,,,,
3:30 AM,,,,,,,
3:45 AM,,,,,,,
4:00 AM,,,,,,,
4:15 AM,,,,,,,
4:30 AM,,,,,,,
4:45 AM,,,,,,,
5:00 AM,,,,,,,
