"SATURDAY, SEPTEMBER 20TH",,,,,,,
,,,,,,,
TIME,PREHISTORIC STAGE,WOMPY WOODS,THE CRATER,FOREST STAGE,SUBSIDIA STAGE,RAPTOR ALLEY,GROVE STAGE
1:00 PM,,,,,,,
1:15 PM,,,,,,,
1:30 PM,,,,,,,
1:45 PM,,,,,,,
2:00 PM,WILEY,,,,,,
2:15 PM,,,"GUNPOINT
(2:15 - 3:20 PM)",,,,
2:30 PM,,PROSECUTE,,,,,
2:45 PM,,,,,,,
3:00 PM,CANABLISS,,,,LAZRUS,,
3:15 PM,,,"HVDES
(3:20 - 4:25 PM)",,,,
3:30 PM,,CODD DUBZ,,,,,
3:45 PM,,,,,,,
4:00 PM,"DISTINCT MOTIVE
(4:00 - 4:55 PM)",,,AFTERXHEAVEN,FOCUSS,,
4:15 PM,,,,,,,
4:30 PM,,VASTIVE B2B RZRKT,"MIDNIGHT TYRANNOSAURUS
(4:25 - 5:30 PM)",,,,
4:45 PM,,,,,,,
5:00 PM,"EAZYBAKED
(4:55 - 5:50 PM)",,,GHOST IN REAL LIFE,PHOCUST,,
5:15 PM,,,,,,,
5:30 PM,,FUNTCASE,"ALIENPARK
(5:30 - 6:35 PM)",,,,
5:45 PM,"DION TIMMER
(5:50 - 6:50 PM)",,,,,,
6:00 PM,,,,"BLOSSOM
(DNB SET)",HUMANSION,,
6:15 PM,,,,,,,
6:30 PM,,LAYZ,"HAIRITAGE
(6:35 - 7:40 PM)",,,,
6:45 PM,"EPTIC
(6:50 - 7:50 PM)",,,,,,
7:00 PM,,,,SIMULA,MAD DUBZ,,
7:15 PM,,,,,,,
7:30 PM,,"ILLENIUM
(SUNSET SET)",,,,,
7:45 PM,"MERSIV B2B SMOAKLAND
(7:50 - 8:50 PM)",,"SAMPLIFIRE
(7:40 - 8:45 PM)",,,,
8:00 PM,,,,"MODESTEP
(DJ SET)",DEUCEZ,,
8:15 PM,,,,,,,
8:30 PM,,SPACE LACES,,,,,
8:45 PM,"CRANKDAT
(8:50 - 9:50 PM)",,"INFEKT
(8:45 - 9:50 PM)",,,,
9:00 PM,,,,REAPER,DR. USHUU,,
9:15 PM,,,,,,,
9:30 PM,,PEEKABOO,,,,,
9:45 PM,"WOOLI
(9:50 - 10:50 PM)",,"MUST DIE!
(9:50 - 10:55 PM)",,,,
10:00 PM,,,,KOAN SOUND,TYNAN,,
10:15 PM,,,,,,,
10:30 PM,,,,,,,
10:45 PM,,SVDDEN DEATH PRESENTS: VOYD,,,,,
11:00 PM,"LSZEE
(LSDREAM + CLOZEE)",,"RIOT TEN
(10:55 PM - 12:00 AM)",ANDY C,SHANGHAI DOOM,,
11:15 PM,,,,,,,
11:30 PM,,,,,,,
11:45 PM,,,,,,,
12:00 AM,,,SURPRISE TAKEOVERS,"IVY LAB
(DNB SET)",JON CASEY,CRYSTAL SKIES,SILENT DISCO
12:15 AM,,"STONED TO DEATH
(STONED LEVEL + MUERTE)
(12:15 - 2:05 AM)",,,,,
12:30 AM,,,,,,,
12:45 AM,,,,,,,
1:00 AM,,,,HEDEX,VIPERACTIVE,YETEP,
1:15 AM,,,,,,,
1:30 AM,,,,,,,
1:45 AM,,,,,,,
2:00 AM,,"BENDA
(2:05 - 3:00 AM)",,VENJENT,NITEPUNK,FAIRLANE,
2:15 AM,,,,,,,
2:30 AM,,,,,,,
2:45 AM,,,,,,,
3:00 AM,,WHALES,,RIOT,CONTROL FREAK,PUSHING DAIZIES,
3:15 AM,,,,,,,
3:30 AM,,,,,,,
3:45 AM,,,,,,,
4:00 AM,,,,,,,
4:15 AM,,,,,,,
4:30 AM,,,,,,,
4:45 AM,,,,,,,
5:00 AM,,,,,,,
