"SUNDAY, SEPTEMBER 21ST",,,,,,,
,,,,,,,
TIME,PREHISTORIC STAGE,WOMPY WOODS,THE CRATER,FOREST STAGE,SUBSIDIA STAGE,RAPTOR ALLEY,GROVE STAGE
1:00 PM,,,,,,,
1:15 PM,,,,,,,
1:30 PM,,,,,,,
1:45 PM,,,,,,,
2:00 PM,"KLIPTIC
(2:00 - 2:55 PM)",,,,,,
2:15 PM,,,MEDICINE PLACE,,,,
2:30 PM,,,,,,,
2:45 PM,,,,,,,
3:00 PM,"WITCHING HOUR
(VAMPA + JEANIE)
(2:55 - 3:50 PM)",BRAINRACK,,,,,
3:15 PM,,,,,,,
3:30 PM,,,WRAZ.,,,,
3:45 PM,"JKYL & HYDE
(3:50 PM - 4:45 PM)",,,,,,
4:00 PM,,EATER,,RYNS,TWOPERCENT,,
4:15 PM,,,,,,,
4:30 PM,,,,,,,
4:45 PM,"ELIMINATE
(4:45 - 5:40 PM)",,MYTHM,,,,
5:00 PM,,PHASEONE,,MASHBIT,HEXXA,,
5:15 PM,,,,,,,
5:30 PM,,,,,,,
5:45 PM,"GORILLAT
(5:40 - 6:35 PM)",,,,,,
6:00 PM,,"JESSICA AUDIFFRED
(6:00 - 6:55 PM)",LOUIEJAYZZ,EDDIE,SCAREXX,,
6:15 PM,,,,,,,
6:30 PM,"ALLEYCVT
(6:35 - 7:30 PM)",,,,,,
6:45 PM,,,,,,,
7:00 PM,,"EXCISION
(DETOX SET)
(7:00 - 7:50 PM)",,ONE TRUE GOD,VLCN,,
7:15 PM,,,SPACE WIZARD,,,,
7:30 PM,"INZO
(7:30 - 8:25 PM)",,,,,,
7:45 PM,,"SULLIVAN KING
(7:50 - 8:50 PM)",,,,,
8:00 PM,,,,BADGER,PERRY WAYNE,,
8:15 PM,,,,,,,
8:30 PM,REZZ,,GHENGAR,,,,
8:45 PM,,"ATLIENS
(8:50 - 9:45 PM)",,,,,
9:00 PM,,,,BIJOU,FREAKY,,
9:15 PM,,,,,,,
9:30 PM,EXCISION B2B SUBTRONICS,,,,,,
9:45 PM,,"DAB THE SKY
(DABIN + SAID THE SKY)",SATURNA,,,,
10:00 PM,,,,NOSTALGIX,RUVLO,,
10:15 PM,,,,,,,
10:30 PM,,,,,,,
10:45 PM,,,,,,,
11:00 PM,,,SURPRISE TAKEOVERS,ACRAZE,JUSTIN HAWKES,YOSUF,
11:15 PM,,"RATED R
(11:15 PM - 12:10 AM)",,,,,
11:30 PM,,,,,,,
11:45 PM,,,,,,,
12:00 AM,,,,STUMPI,SOTA,AUDIOFREQ,SILENT DISCO
12:15 AM,,"HURTBOX
(12:10 - 1:05 AM)",,,,,
12:30 AM,,,,,,,
12:45 AM,,,,,,,
1:00 AM,,"SHIVERZ
(1:05 - 2:00 AM)",,DEADROOM,LIQUID SMOAK,DOMINA,
1:15 AM,,,,,,,
1:30 AM,,,,,,,
1:45 AM,,,,,,,
2:00 AM,,NIMDA,,JSTJR,,EXCISION PRESENTS TAKEOVER,
2:15 AM,,,,,,,
2:30 AM,,,,,,,
2:45 AM,,,,,,,
3:00 AM,,,,,,,
3:15 AM,,,,,,,
3:30 AM,,,,,,,
3:45 AM,,,,,,,
4:00 AM,,,,,,,
4:15 AM,,,,,,,
4:30 AM,,,,,,,
4:45 AM,,,,,,,
5:00 AM,,,,,,,
